date,round,home,home_abb,away,away_abb,status,home_ht,home_ft,away_ht,away_ft
2024-12-14T15:00:00+00:00,14,Sandvikens AIK,SAN,IK Sirius BK,SIR,closed,2,4,3,6
2024-12-14T15:00:00+00:00,14,Vetlanda BK,VBK,IFK Vanersborg,VAN,closed,3,6,1,7
2024-12-14T16:00:00+00:00,14,Gripen Trollhättan BK,GRT,Ljusdals BK,LJU,closed,2,6,0,2
2024-12-14T18:00:00+00:00,14,Bollnas GIF,BOL,Broberg/Soderhamn BS,BRO,closed,4,5,1,1
2024-12-17T18:00:00+00:00,15,Frillesaas BK,FRI,Edsbyns IF,EDS,closed,0,1,1,5
2024-12-17T18:00:00+00:00,15,Hammarby IF/BK,HAM,IFK Vanersborg,VAN,closed,3,6,1,1
2024-12-17T18:00:00+00:00,15,Ljusdals BK,LJU,Vasteraas SK,VSK,closed,2,3,4,7
2024-12-17T18:00:00+00:00,15,Aby/Tjureda IF,A/T,Bollnas GIF,BOL,closed,2,3,0,3
2024-12-18T18:00:00+00:00,15,Villa-Lidkoping BK,VIL,Sandvikens AIK,SAN,closed,1,5,1,4
2024-12-18T18:00:00+00:00,15,Broberg/Soderhamn BS,BRO,Vetlanda BK,VBK,closed,2,4,3,6
2024-12-18T18:00:00+00:00,15,IK Sirius BK,SIR,Gripen Trollhättan BK,GRT,closed,2,3,2,3
2024-12-20T18:00:00+00:00,16,Frillesaas BK,FRI,Hammarby IF/BK,HAM,closed,2,4,2,4
2024-12-20T18:00:00+00:00,16,Gripen Trollhättan BK,GRT,Aby/Tjureda IF,A/T,closed,4,8,1,4
2024-12-20T18:00:00+00:00,16,Vasteraas SK,VSK,Bollnas GIF,BOL,closed,2,5,1,3
2024-12-21T14:00:00+00:00,16,IFK Vanersborg,VAN,Broberg/Soderhamn BS,BRO,closed,3,6,1,3
2024-12-21T16:00:00+00:00,16,Edsbyns IF,EDS,Villa-Lidkoping BK,VIL,closed,2,3,3,7
2024-12-21T16:00:00+00:00,16,Vetlanda BK,VBK,IK Sirius BK,SIR,closed,3,6,0,3
2024-12-22T17:00:00+00:00,16,Sandvikens AIK,SAN,Ljusdals BK,LJU,closed,3,10,2,5
2024-12-26T12:15:00+00:00,17,Bollnas GIF,BOL,Edsbyns IF,EDS,closed,1,1,2,6
2024-12-26T12:15:00+00:00,17,IK Sirius BK,SIR,Hammarby IF/BK,HAM,closed,0,2,2,4
2024-12-26T14:00:00+00:00,17,Vetlanda BK,VBK,Aby/Tjureda IF,A/T,closed,3,6,1,2
2024-12-26T16:00:00+00:00,17,Broberg/Soderhamn BS,BRO,Sandvikens AIK,SAN,closed,2,5,3,7
2024-12-26T16:00:00+00:00,17,IFK Vanersborg,VAN,Gripen Trollhättan BK,GRT,closed,2,5,1,3
2024-12-26T16:00:00+00:00,17,Vasteraas SK,VSK,Villa-Lidkoping BK,VIL,closed,3,5,4,9
2024-12-26T17:00:00+00:00,17,Ljusdals BK,LJU,Frillesaas BK,FRI,closed,2,6,5,5
2024-12-28T14:00:00+00:00,18,Gripen Trollhättan BK,GRT,Vetlanda BK,VBK,closed,0,4,9,9
2024-12-28T14:00:00+00:00,18,Hammarby IF/BK,HAM,Bollnas GIF,BOL,closed,1,3,3,7
2024-12-28T18:00:00+00:00,18,Villa-Lidkoping BK,VIL,Ljusdals BK,LJU,closed,5,10,2,5
2024-12-29T12:00:00+00:00,18,Frillesaas BK,FRI,IFK Vanersborg,VAN,closed,1,3,1,4
